-,-,-
125, -149, 1051
137, -171, 1054
109, -155, 1062
95, -153, 1078
97, -163, 1093
83, -175, 1130
71, -181, 1177
51, -188, 1194
56, -194, 1250
56, -194, 1250
85, -185, 1271
121, -196, 1255
148, -198, 1244
219, -220, 1272
278, -241, 1282
323, -232, 1232
381, -244, 1157
414, -252, 1089
439, -269, 1067
462, -267, 1052
470, -259, 1025
469, -267, 971
449, -299, 866
449, -299, 866
461, -303, 849
435, -323, 826
424, -344, 784
401, -352, 695
356, -353, 609
316, -357, 547
286, -366, 493
256, -381, 509
256, -381, 509
237, -395, 550
224, -404, 549
211, -391, 517
178, -378, 484
142, -383, 477
93, -375, 460
80, -380, 489
80, -380, 489
53, -341, 494
16, -305, 587
-54, -280, 713
-127, -288, 801
-186, -318, 840
-205, -291, 813
-237, -245, 896
-301, -225, 1122
-323, -259, 1329
-333, -271, 1381
-349, -273, 1440
-337, -298, 1550
-319, -318, 1541
-299, -305, 1594
-278, -282, 1620
-257, -246, 1563
-214, -231, 1501
-189, -232, 1394
-171, -223, 1264
-149, -212, 1162
-119, -202, 1079
-68, -208, 972
-68, -208, 972
-9, -223, 878
26, -221, 854
61, -208, 848
98, -207, 836
128, -213, 782
128, -213, 782
141, -215, 728
153, -209, 675
161, -162, 638
204, -134, 713
268, -112, 774
310, -123, 806
336, -139, 772
341, -162, 724
341, -162, 724
370, -181, 697
357, -141, 729
375, -132, 842
387, -134, 949
383, -115, 1012
377, -94, 1029
347, -64, 1050
321, -40, 1142
321, -40, 1142
281, -45, 1200
254, -14, 1235
242, 15, 1277
218, 36, 1294
194, 28, 1288
140, 61, 1260
140, 61, 1260
102, 83, 1263
59, 87, 1262
10, 92, 1242
-25, 102, 1291
-65, 119, 1237
-65, 119, 1237
-92, 102, 1328
-,-,-
115, -345, 1047
104, -366, 1068
102, -369, 1124
166, -376, 1154
228, -389, 1238
271, -373, 1258
335, -387, 1245
424, -413, 1181
451, -403, 1123
457, -401, 1029
472, -411, 983
457, -405, 931
457, -405, 931
458, -410, 899
452, -400, 853
436, -388, 759
409, -377, 667
386, -374, 633
352, -369, 576
311, -362, 539
286, -353, 563
286, -353, 563
259, -336, 578
230, -314, 523
203, -317, 468
133, -309, 438
64, -306, 491
25, -315, 580
25, -315, 580
-19, -317, 615
-80, -306, 625
-135, -302, 668
-195, -296, 774
-246, -288, 940
-269, -281, 1084
-285, -306, 1263
-311, -326, 1376
-333, -335, 1498
-338, -329, 1595
-340, -325, 1642
-347, -331, 1540
-330, -318, 1348
-300, -305, 1203
-268, -285, 1117
-199, -270, 1085
-135, -252, 1048
-76, -227, 984
-34, -200, 895
44, -198, 793
44, -198, 793
99, -183, 789
143, -180, 771
189, -168, 727
245, -175, 705
295, -155, 661
334, -108, 714
376, -77, 808
376, -77, 808
369, -52, 936
367, -60, 1002
359, -46, 1013
380, -2, 1105
375, 30, 1249
333, 48, 1302
333, 48, 1302
291, 72, 1257
254, 83, 1249
219, 95, 1231
146, 115, 1242
83, 114, 1302
83, 114, 1302
0, 127, 1332
-51, 130, 1381
-115, 121, 1396
-163, 107, 1322
-187, 74, 1287
-207, 45, 1240
-,-,-
65, -382, 964
53, -398, 977
56, -410, 1015
48, -410, 1059
44, -429, 1084
58, -475, 1159
111, -486, 1263
196, -485, 1342
196, -485, 1342
285, -475, 1339
360, -465, 1281
406, -453, 1159
431, -442, 1035
460, -429, 930
482, -410, 835
475, -387, 743
466, -373, 662
449, -371, 581
424, -363, 513
400, -354, 458
400, -354, 458
361, -349, 437
325, -354, 446
317, -371, 473
279, -363, 482
224, -362, 501
175, -368, 540
134, -363, 574
134, -363, 574
84, -363, 616
16, -362, 635
-40, -359, 696
-113, -359, 746
-184, -350, 775
-240, -329, 899
-292, -313, 1053
-348, -310, 1195
-400, -327, 1321
-420, -320, 1347
-427, -305, 1369
